"type"," activeFrom"," activeTo"," user"," description"," publicDescription","  lat"," lon"
"incident","2013-02-05 21:13:07.542","2013-02-05 21:13:07.542","sidney","involving mc and sedan.responding unit,m3 neusana","","10.328662170405249","123.90713453292847"
"incident","2013-02-06 10:59:07.653","2013-02-06 10:59:07.653","eric","involve mc vs taxi attended by T/E Reyes, Eugenio","","10.31442317967656","123.89034390449524"
"-","2013-02-06 11:19:57.312",,"eric",,"amicable settle",
"incident","2013-02-06 07:39:57.918","2013-02-06 07:39:57.918","eric","involved puj vs mc attended by t/e reyes, eugenio","","10.316956479411019","123.89240384101866"
"incident","2013-02-06 08:52:07.117","2013-02-06 08:52:07.117","eric","at marco polo hotel involved delivery van vs private vehicle attended by T/E Coronado","","10.343565449173841","123.89539718627928"
"-","2013-02-06 09:03:31.526",,"eric",,"settled",
"incident","2013-02-06 07:43:42.976","2013-02-06 07:43:42.976","eric","involved sportage vs taxi attended by t/e Gonzales , Rodulfo (miner 25)","","10.307593724272815","123.88222217559813"
"incident","2013-02-06 09:06:09.208","2013-02-06 09:06:09.208","eric","involved puj vs private car attended by  T/E Labiste ","","10.31365263029731","123.91786336898804"
"incident","2013-02-06 07:53:37.63","2013-02-06 07:53:37.63","eric","involved two private vehicles attended by T/E Gabumpa, R.","","10.310253746148996","123.90518188476561"
"incident","2013-02-06 07:46:30.778","2013-02-06 07:46:30.778","eric","involved two private vehicles attended by T/E Mongaya, J.","","10.314022072015858","123.9002788066864"
"incident","2013-02-06 11:13:15.814","2013-02-06 11:13:15.814","eric","involved puj vs puj attended by T/E Vallespin, C.","","10.298790158403628","123.89692068099974"
"incident","2013-02-06 08:26:34.054","2013-02-06 08:26:34.054","eric","involved puj and pvt. vehicle attended by T/E Bermejo, R.","","10.297111752834148","123.88689994812013"
"incident","2013-02-06 11:43:56.29","2013-02-06 11:43:56.29","eric","1050 motorcycle and pedestrian at banilad NFA 1076 T/E arellano.","","10.328809940094782","123.90900135040282"
